PR_NUM,REVISION,METERID,CREATEDDATE,FORECASTID,REQUESTED_DATE,STATUS,RESPONSE_DATE,RESPONSE_STATUS
1-ZJENYZ,1,PJM_APSPA_08058470800007195531,12/11/2019 8:11,20191211081200754000_PJM_APSPA_08058470800007195531,12/11/2019 8:12,FORECAST_COMPLETE,12/11/2019 8:27,SUCCESS
1-ZD28G4,2,PJM_PPL_7278034000,12/11/2019 8:05,20191211080605437000_PJM_PPL_7278034000,12/11/2019 8:06,FORECAST_COMPLETE,12/11/2019 8:26,SUCCESS
1-ZD28G4,2,PJM_PPL_5229109009,12/11/2019 8:05,20191211080605625000_PJM_PPL_5229109009,12/11/2019 8:06,FORECAST_COMPLETE,12/11/2019 8:30,SUCCESS
1-ZD28G4,2,PJM_PPL_7066111007,12/11/2019 8:05,20191211080605453000_PJM_PPL_7066111007,12/11/2019 8:06,FORECAST_COMPLETE,12/11/2019 8:26,SUCCESS
1-ZD28G4,2,PJM_PPL_7785117005,12/11/2019 8:05,20191211080605437000_PJM_PPL_7785117005,12/11/2019 8:06,FORECAST_COMPLETE,12/11/2019 8:26,SUCCESS
1-ZPMLZD,1,ERCOT_TNMP_10400519468700001,12/11/2019 7:56,20191211075701048000_ERCOT_TNMP_10400519468700001,12/11/2019 7:57,FORECAST_COMPLETE,12/11/2019 8:09,SUCCESS
1-ZPKTU3,1,NEPOOL_BECO_27034341050,12/11/2019 7:55,20191211075603633000_NEPOOL_BECO_27034341050,12/11/2019 7:56,FORECAST_COMPLETE,12/11/2019 8:11,SUCCESS
1-ZD28G4,2,PJM_PPL_5165123003,12/11/2019 7:50,20191211075103075000_PJM_PPL_5165123003,12/11/2019 7:51,FORECAST_COMPLETE,12/11/2019 8:10,SUCCESS
1-ZD28G4,2,PJM_PPL_9890210008,12/11/2019 7:50,20191211075103293000_PJM_PPL_9890210008,12/11/2019 7:51,FORECAST_COMPLETE,12/11/2019 8:10,SUCCESS
1-ZD28G4,2,PJM_PPL_8740159002,12/11/2019 7:50,20191211075103121000_PJM_PPL_8740159002,12/11/2019 7:51,FORECAST_COMPLETE,12/11/2019 8:10,SUCCESS
